SKU*,Warehouse Locations,Qty In Stock
NG21930G,"G10,",890
NG21930H,"G10,",283
NG21930I,"G10S,",201
NG21930IP,"G10,G10S,",180
NG21930IR,"G10,G10S,",169
NG21930J,"G10,",490
NG21930JB,"G10,",412
NG21930JG,"G10,",181
NG21930K,"G10,",707
NG21930L,"G10,",168
NG21930LB,"G10,",53
NG21930LP,"G10,",38
NG21930LR,"G10,",65
NG21930M,"G10,G10S,",351
NG21930N,"G10,G10S,",502
NG21930NG,"G10,",350
NG21930NY,"G10,",143
NG21930O,"G10,",314
NG21930P,"G10,",821
NG21930Q,"G10,",756
NG21930R,"G10,",231
NG21930S,"G10,",279
NG21930T,"G10,",491
NG21930U,"G10,",586
NG21930UG,"G10,",240
NG21930UP,"G10::,",
NG21930UR,"G10,",487
NG21930V,"G10,",683
NG21930W,"G10,",840
NG21930X,"G10,",130
NG21930Y,"G10,",929
NG21930Z,"G10,",154
NG21931-48,,0
NG21936,"Kitchen#23,",3
NG21941A-6,,0
NG21957B,"C9F0,C9H,",450
NG21959-12,"kitchen #33,",0
NG21981A-10,"K5S,N3H,",395
NG21981B-10,"K5S,N3H,",321
NG21982-12,"K3S,",0
NG21982A,"K3H,K3S,",92
NG21982B,"K3H,K3S,",90
NG21986-24,"L1F,",0
NG22001A-F,"L4S,",323
NG22014-24,,0
NG22025-6,,0
NG22033A-F,"J10F,",312
NG22037-24,,
NG22041-12,,0
NG22042-12,,0
NG22052-24,,4
NG22065-24,,
NG22068-12,"D3F,D3M,",955
NG22070-12,,0
NG22071-12,,0
NG22073-6,,0
NG22073A,"A7S,",4
NG22073B,,0
NG22074-8,"L1H,M2F,",40
NG22074-A,,0
NG22074-B,,0
NG22074A,"L1H,M2F,",18
NG22074B,"L1H,M2F,",27
NG22074C,"L1H,M2F,",27
NG22074D,"L1H,M2F,",27
NG22074E,"L1H,M2F,",27
NG22074F,"L1H,M2F,",27
NG22074G,"L1H,M2F,",11
NG22074H,"L1H,M2F,",6
NG22075-12,,0
NG22077-12,,0
NG22079-6,"I2F,I8H,",0
NG22079-A,,29
NG22079-B,,30
NG22081-48,"B8S,",1098
NG22083,"D2F,",10
NG22084,"C8H,D7F,",13
NG22089A-F-12,,0
NG22090-6,"A5F,C10H,",124
NG22091-24,,0
NG22094,"F8F,",58
NG22097-24,"A11H,A7S,",1070
NG22097-A,,0
NG22097-B,,0
NG22097-C,,0
NG22097-D,,0
NG22099-12,"D3F,",729
NG22099-A,,10
NG22099-B,,10
NG22099-C,,10
NG22101-12,"A6S,",277
NG22103,"A4S,B8H,",1856
NG22105-48,"K3M,",0
NG22107-6,"kitchen # 18,",0
NG22111B-12,,5
NG22113A,,
NG22113B,,0
NG22113C,,0
NG22114A,"G8S,",31
NG22114A-F,"G8S,",20
NG22114B,"G8S,",59
NG22114C,"G8S,",17
NG22114D,"G8S,",16
NG22114E,"G8S,",24
NG22114F,"G8S,H8S,",49
NG22115A,"L4F,",74
NG22115B,"L4F,",33
NG22115C,"L4F,",48
NG22115D,"L4F,",11
NG22115E,"L4F,",48
NG22115F,,
NG22116-24,"K3M,",159
NG22116-F-3,,24
NG22116-P-3,,27
NG22126-12,"L5F,L5H,",282
NG22127A,"L5F,",439
NG22127A-F,,0
NG22127F,"L5F,",87
NG22131-F,,
NG22131-P,,
NG22136-24,"D8H,D9S,",193
NG22138-24,,
NG22139-24,"I3S,",181
NG22142-6,,0
NG22143-48,,0
NG22148A-F,"L4S,",33
NG22149A,"B2M,L3b,",471
NG22149F,"L3B,",27
NG22154-24,"D9F,",350
NG22156-12,"J7F,",599
NG22156-B,,10
NG22156-G,,10
NG22156-O,,10
NG22156-P,,10
NG22156-R,,10
NG22156-Y,,10
NG22158-12,"I2F,",177
NG22158-B,,0
NG22158-G,,0
NG22158-P,,0
NG22158-R1,,10
NG22158-R2,,10
NG22158-Y,,10
NG22159-48,,
NG22159-F,,0
NG22159-P,,0
NG22164A-12,"M3,Retail room,",0
NG22164A-Z,"M3,",
NG22164AB-12,"M3::,",0
NG22164AH-12,"M3::,",0
NG22164AP-12,"M3::,",0
NG22164B-12,"M3,",363
NG22164C-12,"M3,",301
NG22164D-12,"M3,",421
NG22164E-12,,-4
NG22164EB-12,"M3::,",0
NG22164EH-12,"M3,",0
NG22164EP-12,"M3,",0
NG22164F-12,"M3,",670
NG22164G-12,"M3,",412
NG22164GG-12,"M3,",24
NG22164GP-12,"M3,",22
NG22164H-12,"M3,",348
NG22164I-12,,0
NG22164IH-12,"M3,",0
NG22164IO-12,"M3,",0
NG22164J-12,"M3,",578
NG22164K-12,"M3,",382
NG22164L-12,,0
NG22164LB-12,"M3,",0
NG22164LH-12,"M3,",0
NG22164LP-12,"M3,",0
NG22164M-12,"M3,",222
NG22164N-12,"M3,",228
NG22164O-12,"M3,",249
NG22164P-12,"M3,",477
NG22164Q-12,"M3,",480
NG22164R-12,"M3,",39
NG22164S-12,"M3,",193
NG22164T-12,"M3,",480
NG22164U-12,"M3,",630
NG22164V-12,"M3,",224
NG22164W-12,"M3,",444
NG22164X-12,"M3,",479
NG22164Y-12,"M3,",233
NG22164Z-12,"M3,",439
NG22165,,0
NG22168A,"L5F,",12
NG22168B,"L3H,",28
NG22169-12-4,"Kitchen #40,",3
NG22170A-12,"O2S,",1137
NG22170A-Z,,309
NG22170B-12,"O2S,",553
NG22170C-12,"O2S,",434
NG22170D-12,"O2S,",553
NG22170E-12,"O2S,",832
NG22170F-12,"O2S,",479
NG22170G-12,"O2S,",435
NG22170H-12,"O2S,",645
