
A,1,2,3,4,5,6,7,8,9,10,11,12,13
S,,NG23177(1440),NG22446F(71),NG23221(1126),NG23255(729),NG23268A(49),R-NG22212(0),,F-NG22149(0),,,,
S,,NG23410(228),,R-NG23221(0),NG23482(503),,R-NG22431(0),,NG21307-24(2198),,,,
S,,R-NG23410(0),,,R-NG23255(0),,R-NG23220(0),,NG22212(569),,,,
S,,,,,R-NG23482(0),,,,NG22431(103),,,,
S,,,,,,,,,R-NG21307-24(0),,,,
S,,,,,,,,,R-NG21307-8(0),,,,
S,,,,,,,,,R-NG22212-3(0),,,,
S,,,,,,,,,STD22212(6),,,,
F,,,NG22520(86),,NG23480(444),NG21052-12(1),NG22177-6(26),NG22094(58),NG23145(222),,,,
F,,,NG22520-K(3),,NG23480A(438),NG23221A(822),NG23220(792),NG23201(264),R-NG205-48(0),,,,
F,,,NG22520-P(11),,NG23480B(390),R-NG23221A(0),NG23268(190),NG23527(528),STD22182(19),,,,
F,,,NG22742(0),,,,NG23481(168),Q-NG23201(0),,,,,
F,,,R-NG22520(0),,,,NG23481A(120),R-NG23201(0),,,,,
F,,,,,,,NG23481B(120),,,,,,
F,,,,,,,R-NG23481(0),,,,,,

G,1,2,3,4,5,6,7,8,9,10,11,12,13

H,NG23239(756),NG22577-C(917),NG22556ENGINE(5588),NG23294(910),NG23341(57),,NG22556E(4530),NG22556L(2661),,,,,
H,,NG22577-D(830),NG22556H(1431),,,,NG22556O(2271),NG23040(204),,,,,
H,,NG22577-L(1076),Q-NG23438-78-1(0),,,,NG22556R(2332),,,,,,
H,,NG22580-A(744),Q-NG23438-78-2(0),,,,NG22556U(713),,,,,,
H,,NG22580-C(810),Q-NG23438-79-1(0),,,,,,,,,,
H,,NG22580-G(910),Q-NG23438-79-2(0),,,,,,,,,,
M,,NG22556A(5070),R-NG23410(0),NG22556DISPLAY(0),,NG22556Y(1232),NG22577-B(927),NG22556B(410),,,,,
M,,NG23438(1464),,,,NG22686(1254),NG22580-D(772),NG22556I(3052),,,,,
M,,NG23438A(0),,,,R-NG22686(0),NG22580-E(1036),NG22556K(636),,,,,
M,,NG23438B(0),,,,,NG23397(77),NG22556M(1396),,,,,
M,,NG23438C(0),,,,,,NG23435(604),,,,,
M,,NG23515(0),,,,,,,,,,,
M,,NG23515A(176),,,,,,,,,,,
M,,NG23515B(173),,,,,,,,,,,
M,,R-NG23295(0),,,,,,,,,,,
M,,R-NG23438(0),,,,,,,,,,,
S,,NG22556END(5049),NG22556A(5070),NG22577-A(1016),NG22577-N(155),NG22577(0),,NG22114A(31),,NG21930C(237),,,
S,,NG22556ENGINE(5588),NG22556B(410),NG22577-B(927),NG22580-A(744),NG22577-E(1350),,NG22114A-F(20),,NG21930I(201),,,
S,,,NG22556C(1118),NG22577-C(917),NG22580-B(605),NG22580-G(910),,NG22114B(59),,NG21930IP(180),,,
S,,,NG22556D(1259),NG22577-D(830),NG22580-C(810),NG23384(0),,NG22114C(17),,NG21930IR(169),,,
S,,,NG22556E(4530),NG22577-F(928),NG22580-D(772),NG23384A(361),,NG22114D(16),,NG21930M(351),,,
S,,,NG22556F(1165),NG22577-H(993),NG22580-E(1036),NG23384B(339),,NG22114E(24),,NG21930N(502),,,
S,,,NG22556G(531),NG22577-J(979),NG22580-F(657),R-NG23384A(0),,NG22114F(49),,,,,
S,,,NG22556H(1431),NG22577-L(1076),NG22580-H(968),R-NG23384B(0),,R-NG22114A-F(0),,,,,
S,,,,,NG22580-I(63),,,,,,,,
F,,,NG22556I(3052),NG22556Q(617),NG22556DISPLAY(0),,NG23435(604),,,,,,
F,,,NG22556J(711),NG22556R(2332),NG22556STAND(4),,Q-NG23438-78-1(0),,,,,,
F,,,NG22556K(636),NG22556S(1418),NG22556Y(1232),,Q-NG23438-78-2(0),,,,,,
F,,,NG22556L(2661),NG22556T(1526),NG22556Z(405),,Q-NG23438-79-1(0),,,,,,
F,,,NG22556M(1396),NG22556U(713),NG22557A(156),,Q-NG23438-79-2(0),,,,,,
F,,,NG22556N(2855),NG22556V(181),NG22557H(246),,,,,,,,
F,,,NG22556O(2271),NG22556W(479),,,,,,,,,
F,,,NG22556P(249),NG22556X(518),,,,,,,,,

H,1,2,3,4,5,6,7,8,9,10,11,12,13

H,,,NG23129(1005),NG23127(1023),NG22626B(76),NG22556END(5049),,NG23338(239),NG22556H(1431),NG22556N(2855),,,
H,,,R-NG23129(0),R-NG23127(0),,,,R-NG23338(0),NG22556S(1418),NG22556T(1526),,,
H,,,,,,,,,NG22556Y(1232),,,,
M,,,,NG23379(347),,,NG22577-E(1350),,NG22556A(5070),NG22556C(1118),,,
M,,,,NG23534(256),,,NG23492(2),,,NG22556F(1165),,,
M,,,,R-NG23379(0),,,NG23492A(-13),,,NG22556G(531),,,
M,,,,,,,NG23492B(-13),,,NG22556J(711),,,
M,,,,,,,,,,NG22580-F(657),,,
M,,,,,,,,,,NG22580-H(968),,,
S,,R-NG22686(0),NG22223-12(118),NG21768(2544),NG23492(2),NG23499(144),,NG22114F(49),,NG21718H(-11),NG21718B(139),,
S,,,,NG23127(1023),NG23492A(-13),,,,,,NG21718BB(19),,
S,,,,NG23129(1005),NG23492B(-13),,,,,,NG21718BR(45),,
S,,,,R-NG21768(0),NG23539(0),,,,,,NG21718C(-1),,
S,,,,R-NG23127(0),NG23539A(162),,,,,,NG21718CB(18),,
S,,,,R-NG23129(0),NG23539B(35),,,,,,NG21718D(153),,
S,,,,,,,,,,,NG21718DB(256),,
S,,,,,,,,,,,NG21718DG(58),,
S,,,,,,,,,,,NG21718F(478),,
S,,,,,,,,,,,NG21718FB(30),,
S,,,,,,,,,,,NG21718FG(447),,
S,,,,,,,,,,,NG21718G(162),,
S,,,,,,,,,,,NG21718GO(11),,
S,,,,,,,,,,,NG21718GY(222),,
S,,,,,,,,,,,NG21718HB(29),,
S,,,,,,,,,,,NG21718HG(28),,
S,,,,,,,,,,,NG21718J(170),,
S,,,,,,,,,,,NG21718JR(138),,
S,,,,,,,,,,,NG21718JY(136),,
S,,,,,,,,,,,NG21718K(23),,
S,,,,,,,,,,,NG21718KG(51),,
S,,,,,,,,,,,NG21718KP(62),,
S,,,,,,,,,,,NG21718KR(311),,
S,,,,,,,,,,,NG21718MY(5),,
S,,,,,,,,,,,NG21718N(0),,
S,,,,,,,,,,,NG21718O(135),,
